"","IC","Model","N","J","TAU0","TAU1","G10","G20","p_choose"
"298","DIC",5,50,10,0.04,0.16,0.2,0.2,0.2
"299","WAIC",5,50,10,0.04,0.16,0.2,0.2,0.19
"300","LOO",5,50,10,0.04,0.16,0.2,0.2,0.21
"301","DIC",1,70,10,0.04,0.16,0.2,0.2,0.44
"302","WAIC",1,70,10,0.04,0.16,0.2,0.2,0.58
"303","LOO",1,70,10,0.04,0.16,0.2,0.2,0.62
"304","DIC",2,70,10,0.04,0.16,0.2,0.2,0
"305","WAIC",2,70,10,0.04,0.16,0.2,0.2,0
"306","LOO",2,70,10,0.04,0.16,0.2,0.2,0
"307","DIC",3,70,10,0.04,0.16,0.2,0.2,0.35
"308","WAIC",3,70,10,0.04,0.16,0.2,0.2,0.29
"309","LOO",3,70,10,0.04,0.16,0.2,0.2,0.22
"310","DIC",4,70,10,0.04,0.16,0.2,0.2,0
"311","WAIC",4,70,10,0.04,0.16,0.2,0.2,0
"312","LOO",4,70,10,0.04,0.16,0.2,0.2,0
"313","DIC",5,70,10,0.04,0.16,0.2,0.2,0.21
"314","WAIC",5,70,10,0.04,0.16,0.2,0.2,0.13
"315","LOO",5,70,10,0.04,0.16,0.2,0.2,0.16
"316","DIC",1,20,50,0.04,0.16,0.2,0.2,0.59
"317","WAIC",1,20,50,0.04,0.16,0.2,0.2,0.74
"318","LOO",1,20,50,0.04,0.16,0.2,0.2,0.75
"319","DIC",2,20,50,0.04,0.16,0.2,0.2,0
"320","WAIC",2,20,50,0.04,0.16,0.2,0.2,0
"321","LOO",2,20,50,0.04,0.16,0.2,0.2,0
"322","DIC",3,20,50,0.04,0.16,0.2,0.2,0.19
"323","WAIC",3,20,50,0.04,0.16,0.2,0.2,0.14
"324","LOO",3,20,50,0.04,0.16,0.2,0.2,0.13
"325","DIC",4,20,50,0.04,0.16,0.2,0.2,0
"326","WAIC",4,20,50,0.04,0.16,0.2,0.2,0
"327","LOO",4,20,50,0.04,0.16,0.2,0.2,0
"328","DIC",5,20,50,0.04,0.16,0.2,0.2,0.22
"329","WAIC",5,20,50,0.04,0.16,0.2,0.2,0.12
"330","LOO",5,20,50,0.04,0.16,0.2,0.2,0.12
"331","DIC",1,50,50,0.04,0.16,0.2,0.2,0.48
"332","WAIC",1,50,50,0.04,0.16,0.2,0.2,0.62
"333","LOO",1,50,50,0.04,0.16,0.2,0.2,0.65
"334","DIC",2,50,50,0.04,0.16,0.2,0.2,0
"335","WAIC",2,50,50,0.04,0.16,0.2,0.2,0
"336","LOO",2,50,50,0.04,0.16,0.2,0.2,0
"337","DIC",3,50,50,0.04,0.16,0.2,0.2,0.29
"338","WAIC",3,50,50,0.04,0.16,0.2,0.2,0.21
"339","LOO",3,50,50,0.04,0.16,0.2,0.2,0.19
"340","DIC",4,50,50,0.04,0.16,0.2,0.2,0
"341","WAIC",4,50,50,0.04,0.16,0.2,0.2,0
"342","LOO",4,50,50,0.04,0.16,0.2,0.2,0
"343","DIC",5,50,50,0.04,0.16,0.2,0.2,0.23
"344","WAIC",5,50,50,0.04,0.16,0.2,0.2,0.17
"345","LOO",5,50,50,0.04,0.16,0.2,0.2,0.16
"346","DIC",1,70,50,0.04,0.16,0.2,0.2,0.49
"347","WAIC",1,70,50,0.04,0.16,0.2,0.2,0.65
"348","LOO",1,70,50,0.04,0.16,0.2,0.2,0.66
"349","DIC",2,70,50,0.04,0.16,0.2,0.2,0
"350","WAIC",2,70,50,0.04,0.16,0.2,0.2,0
"351","LOO",2,70,50,0.04,0.16,0.2,0.2,0
"352","DIC",3,70,50,0.04,0.16,0.2,0.2,0.25
"353","WAIC",3,70,50,0.04,0.16,0.2,0.2,0.17
"354","LOO",3,70,50,0.04,0.16,0.2,0.2,0.16
"355","DIC",4,70,50,0.04,0.16,0.2,0.2,0
"356","WAIC",4,70,50,0.04,0.16,0.2,0.2,0
"357","LOO",4,70,50,0.04,0.16,0.2,0.2,0
"358","DIC",5,70,50,0.04,0.16,0.2,0.2,0.26
"359","WAIC",5,70,50,0.04,0.16,0.2,0.2,0.18
"360","LOO",5,70,50,0.04,0.16,0.2,0.2,0.18
"361","DIC",1,20,100,0.04,0.16,0.2,0.2,0.46
"362","WAIC",1,20,100,0.04,0.16,0.2,0.2,0.66
"363","LOO",1,20,100,0.04,0.16,0.2,0.2,0.66
"364","DIC",2,20,100,0.04,0.16,0.2,0.2,0
"365","WAIC",2,20,100,0.04,0.16,0.2,0.2,0
"366","LOO",2,20,100,0.04,0.16,0.2,0.2,0
"367","DIC",3,20,100,0.04,0.16,0.2,0.2,0.31
"368","WAIC",3,20,100,0.04,0.16,0.2,0.2,0.19
"369","LOO",3,20,100,0.04,0.16,0.2,0.2,0.19
"370","DIC",4,20,100,0.04,0.16,0.2,0.2,0
"371","WAIC",4,20,100,0.04,0.16,0.2,0.2,0
"372","LOO",4,20,100,0.04,0.16,0.2,0.2,0
"373","DIC",5,20,100,0.04,0.16,0.2,0.2,0.23
"374","WAIC",5,20,100,0.04,0.16,0.2,0.2,0.15
"375","LOO",5,20,100,0.04,0.16,0.2,0.2,0.15
"376","DIC",1,50,100,0.04,0.16,0.2,0.2,0.49
"377","WAIC",1,50,100,0.04,0.16,0.2,0.2,0.67
"378","LOO",1,50,100,0.04,0.16,0.2,0.2,0.68
"379","DIC",2,50,100,0.04,0.16,0.2,0.2,0
"380","WAIC",2,50,100,0.04,0.16,0.2,0.2,0
"381","LOO",2,50,100,0.04,0.16,0.2,0.2,0
"382","DIC",3,50,100,0.04,0.16,0.2,0.2,0.22
"383","WAIC",3,50,100,0.04,0.16,0.2,0.2,0.09
"384","LOO",3,50,100,0.04,0.16,0.2,0.2,0.09
"385","DIC",4,50,100,0.04,0.16,0.2,0.2,0
"386","WAIC",4,50,100,0.04,0.16,0.2,0.2,0
"387","LOO",4,50,100,0.04,0.16,0.2,0.2,0
"388","DIC",5,50,100,0.04,0.16,0.2,0.2,0.29
"389","WAIC",5,50,100,0.04,0.16,0.2,0.2,0.24
"390","LOO",5,50,100,0.04,0.16,0.2,0.2,0.23
"391","DIC",1,70,100,0.04,0.16,0.2,0.2,0.41
"392","WAIC",1,70,100,0.04,0.16,0.2,0.2,0.68
"393","LOO",1,70,100,0.04,0.16,0.2,0.2,0.71
"394","DIC",2,70,100,0.04,0.16,0.2,0.2,0
"395","WAIC",2,70,100,0.04,0.16,0.2,0.2,0
"396","LOO",2,70,100,0.04,0.16,0.2,0.2,0
"397","DIC",3,70,100,0.04,0.16,0.2,0.2,0.35
"398","WAIC",3,70,100,0.04,0.16,0.2,0.2,0.18
"399","LOO",3,70,100,0.04,0.16,0.2,0.2,0.16
"400","DIC",4,70,100,0.04,0.16,0.2,0.2,0
"401","WAIC",4,70,100,0.04,0.16,0.2,0.2,0
"402","LOO",4,70,100,0.04,0.16,0.2,0.2,0
"403","DIC",5,70,100,0.04,0.16,0.2,0.2,0.24
"404","WAIC",5,70,100,0.04,0.16,0.2,0.2,0.14
"405","LOO",5,70,100,0.04,0.16,0.2,0.2,0.13
"406","DIC",1,20,10,0.16,0.16,0.2,0.2,0.58
"407","WAIC",1,20,10,0.16,0.16,0.2,0.2,0.58
"408","LOO",1,20,10,0.16,0.16,0.2,0.2,0.68
"409","DIC",2,20,10,0.16,0.16,0.2,0.2,0.01
"410","WAIC",2,20,10,0.16,0.16,0.2,0.2,0.01
"411","LOO",2,20,10,0.16,0.16,0.2,0.2,0.01
"412","DIC",3,20,10,0.16,0.16,0.2,0.2,0.26
"413","WAIC",3,20,10,0.16,0.16,0.2,0.2,0.25
"414","LOO",3,20,10,0.16,0.16,0.2,0.2,0.14
"415","DIC",4,20,10,0.16,0.16,0.2,0.2,0
"416","WAIC",4,20,10,0.16,0.16,0.2,0.2,0
"417","LOO",4,20,10,0.16,0.16,0.2,0.2,0.01
"418","DIC",5,20,10,0.16,0.16,0.2,0.2,0.15
"419","WAIC",5,20,10,0.16,0.16,0.2,0.2,0.16
"420","LOO",5,20,10,0.16,0.16,0.2,0.2,0.16
"421","DIC",1,50,10,0.16,0.16,0.2,0.2,0.49
"422","WAIC",1,50,10,0.16,0.16,0.2,0.2,0.5
"423","LOO",1,50,10,0.16,0.16,0.2,0.2,0.62
