"","IC","Model","N","J","TAU0","TAU1","G10","G20","p_choose"
"1270","DIC",4,20,50,0.16,0.04,0.2,0.4,0
"1271","WAIC",4,20,50,0.16,0.04,0.2,0.4,0
"1272","LOO",4,20,50,0.16,0.04,0.2,0.4,0
"1273","DIC",5,20,50,0.16,0.04,0.2,0.4,0.26
"1274","WAIC",5,20,50,0.16,0.04,0.2,0.4,0.18
"1275","LOO",5,20,50,0.16,0.04,0.2,0.4,0.17
"1276","DIC",1,50,50,0.16,0.04,0.2,0.4,0.52
"1277","WAIC",1,50,50,0.16,0.04,0.2,0.4,0.61
"1278","LOO",1,50,50,0.16,0.04,0.2,0.4,0.61
"1279","DIC",2,50,50,0.16,0.04,0.2,0.4,0
"1280","WAIC",2,50,50,0.16,0.04,0.2,0.4,0
"1281","LOO",2,50,50,0.16,0.04,0.2,0.4,0
"1282","DIC",3,50,50,0.16,0.04,0.2,0.4,0.27
"1283","WAIC",3,50,50,0.16,0.04,0.2,0.4,0.19
"1284","LOO",3,50,50,0.16,0.04,0.2,0.4,0.19
"1285","DIC",4,50,50,0.16,0.04,0.2,0.4,0
"1286","WAIC",4,50,50,0.16,0.04,0.2,0.4,0
"1287","LOO",4,50,50,0.16,0.04,0.2,0.4,0
"1288","DIC",5,50,50,0.16,0.04,0.2,0.4,0.21
"1289","WAIC",5,50,50,0.16,0.04,0.2,0.4,0.2
"1290","LOO",5,50,50,0.16,0.04,0.2,0.4,0.2
"1291","DIC",1,70,50,0.16,0.04,0.2,0.4,0.35
"1292","WAIC",1,70,50,0.16,0.04,0.2,0.4,0.62
"1293","LOO",1,70,50,0.16,0.04,0.2,0.4,0.62
"1294","DIC",2,70,50,0.16,0.04,0.2,0.4,0
"1295","WAIC",2,70,50,0.16,0.04,0.2,0.4,0
"1296","LOO",2,70,50,0.16,0.04,0.2,0.4,0
"1297","DIC",3,70,50,0.16,0.04,0.2,0.4,0.41
"1298","WAIC",3,70,50,0.16,0.04,0.2,0.4,0.16
"1299","LOO",3,70,50,0.16,0.04,0.2,0.4,0.16
"1300","DIC",4,70,50,0.16,0.04,0.2,0.4,0
"1301","WAIC",4,70,50,0.16,0.04,0.2,0.4,0
"1302","LOO",4,70,50,0.16,0.04,0.2,0.4,0
"1303","DIC",5,70,50,0.16,0.04,0.2,0.4,0.24
"1304","WAIC",5,70,50,0.16,0.04,0.2,0.4,0.22
"1305","LOO",5,70,50,0.16,0.04,0.2,0.4,0.22
"1306","DIC",1,20,100,0.16,0.04,0.2,0.4,0.54
"1307","WAIC",1,20,100,0.16,0.04,0.2,0.4,0.68
"1308","LOO",1,20,100,0.16,0.04,0.2,0.4,0.69
"1309","DIC",2,20,100,0.16,0.04,0.2,0.4,0
"1310","WAIC",2,20,100,0.16,0.04,0.2,0.4,0
"1311","LOO",2,20,100,0.16,0.04,0.2,0.4,0
"1312","DIC",3,20,100,0.16,0.04,0.2,0.4,0.22
"1313","WAIC",3,20,100,0.16,0.04,0.2,0.4,0.17
"1314","LOO",3,20,100,0.16,0.04,0.2,0.4,0.16
"1315","DIC",4,20,100,0.16,0.04,0.2,0.4,0
"1316","WAIC",4,20,100,0.16,0.04,0.2,0.4,0
"1317","LOO",4,20,100,0.16,0.04,0.2,0.4,0
"1318","DIC",5,20,100,0.16,0.04,0.2,0.4,0.24
"1319","WAIC",5,20,100,0.16,0.04,0.2,0.4,0.15
"1320","LOO",5,20,100,0.16,0.04,0.2,0.4,0.15
"1321","DIC",1,50,100,0.16,0.04,0.2,0.4,0.44
"1322","WAIC",1,50,100,0.16,0.04,0.2,0.4,0.68
"1323","LOO",1,50,100,0.16,0.04,0.2,0.4,0.68
"1324","DIC",2,50,100,0.16,0.04,0.2,0.4,0
"1325","WAIC",2,50,100,0.16,0.04,0.2,0.4,0
"1326","LOO",2,50,100,0.16,0.04,0.2,0.4,0
"1327","DIC",3,50,100,0.16,0.04,0.2,0.4,0.33
"1328","WAIC",3,50,100,0.16,0.04,0.2,0.4,0.14
"1329","LOO",3,50,100,0.16,0.04,0.2,0.4,0.14
"1330","DIC",4,50,100,0.16,0.04,0.2,0.4,0
"1331","WAIC",4,50,100,0.16,0.04,0.2,0.4,0
"1332","LOO",4,50,100,0.16,0.04,0.2,0.4,0
"1333","DIC",5,50,100,0.16,0.04,0.2,0.4,0.23
"1334","WAIC",5,50,100,0.16,0.04,0.2,0.4,0.18
"1335","LOO",5,50,100,0.16,0.04,0.2,0.4,0.18
"1336","DIC",1,70,100,0.16,0.04,0.2,0.4,0.41
"1337","WAIC",1,70,100,0.16,0.04,0.2,0.4,0.57
"1338","LOO",1,70,100,0.16,0.04,0.2,0.4,0.59
"1339","DIC",2,70,100,0.16,0.04,0.2,0.4,0
"1340","WAIC",2,70,100,0.16,0.04,0.2,0.4,0
"1341","LOO",2,70,100,0.16,0.04,0.2,0.4,0
"1342","DIC",3,70,100,0.16,0.04,0.2,0.4,0.27
"1343","WAIC",3,70,100,0.16,0.04,0.2,0.4,0.2
"1344","LOO",3,70,100,0.16,0.04,0.2,0.4,0.18
"1345","DIC",4,70,100,0.16,0.04,0.2,0.4,0
"1346","WAIC",4,70,100,0.16,0.04,0.2,0.4,0
"1347","LOO",4,70,100,0.16,0.04,0.2,0.4,0
"1348","DIC",5,70,100,0.16,0.04,0.2,0.4,0.32
"1349","WAIC",5,70,100,0.16,0.04,0.2,0.4,0.23
"1350","LOO",5,70,100,0.16,0.04,0.2,0.4,0.23
"1351","DIC",1,20,10,0.04,0.16,0.2,0.4,0.55
"1352","WAIC",1,20,10,0.04,0.16,0.2,0.4,0.59
"1353","LOO",1,20,10,0.04,0.16,0.2,0.4,0.61
"1354","DIC",2,20,10,0.04,0.16,0.2,0.4,0
"1355","WAIC",2,20,10,0.04,0.16,0.2,0.4,0
"1356","LOO",2,20,10,0.04,0.16,0.2,0.4,0.01
"1357","DIC",3,20,10,0.04,0.16,0.2,0.4,0.23
"1358","WAIC",3,20,10,0.04,0.16,0.2,0.4,0.22
"1359","LOO",3,20,10,0.04,0.16,0.2,0.4,0.16
"1360","DIC",4,20,10,0.04,0.16,0.2,0.4,0
"1361","WAIC",4,20,10,0.04,0.16,0.2,0.4,0
"1362","LOO",4,20,10,0.04,0.16,0.2,0.4,0
"1363","DIC",5,20,10,0.04,0.16,0.2,0.4,0.22
"1364","WAIC",5,20,10,0.04,0.16,0.2,0.4,0.19
"1365","LOO",5,20,10,0.04,0.16,0.2,0.4,0.22
"1366","DIC",1,50,10,0.04,0.16,0.2,0.4,0.48
"1367","WAIC",1,50,10,0.04,0.16,0.2,0.4,0.57
"1368","LOO",1,50,10,0.04,0.16,0.2,0.4,0.59
"1369","DIC",2,50,10,0.04,0.16,0.2,0.4,0
"1370","WAIC",2,50,10,0.04,0.16,0.2,0.4,0
"1371","LOO",2,50,10,0.04,0.16,0.2,0.4,0
"1372","DIC",3,50,10,0.04,0.16,0.2,0.4,0.36
"1373","WAIC",3,50,10,0.04,0.16,0.2,0.4,0.3
"1374","LOO",3,50,10,0.04,0.16,0.2,0.4,0.26
"1375","DIC",4,50,10,0.04,0.16,0.2,0.4,0
"1376","WAIC",4,50,10,0.04,0.16,0.2,0.4,0
"1377","LOO",4,50,10,0.04,0.16,0.2,0.4,0
"1378","DIC",5,50,10,0.04,0.16,0.2,0.4,0.16
"1379","WAIC",5,50,10,0.04,0.16,0.2,0.4,0.13
"1380","LOO",5,50,10,0.04,0.16,0.2,0.4,0.15
"1381","DIC",1,70,10,0.04,0.16,0.2,0.4,0.47
"1382","WAIC",1,70,10,0.04,0.16,0.2,0.4,0.54
"1383","LOO",1,70,10,0.04,0.16,0.2,0.4,0.61
"1384","DIC",2,70,10,0.04,0.16,0.2,0.4,0
"1385","WAIC",2,70,10,0.04,0.16,0.2,0.4,0
"1386","LOO",2,70,10,0.04,0.16,0.2,0.4,0
"1387","DIC",3,70,10,0.04,0.16,0.2,0.4,0.29
"1388","WAIC",3,70,10,0.04,0.16,0.2,0.4,0.29
"1389","LOO",3,70,10,0.04,0.16,0.2,0.4,0.2
"1390","DIC",4,70,10,0.04,0.16,0.2,0.4,0
"1391","WAIC",4,70,10,0.04,0.16,0.2,0.4,0
"1392","LOO",4,70,10,0.04,0.16,0.2,0.4,0
"1393","DIC",5,70,10,0.04,0.16,0.2,0.4,0.24
"1394","WAIC",5,70,10,0.04,0.16,0.2,0.4,0.17
"1395","LOO",5,70,10,0.04,0.16,0.2,0.4,0.19
"1396","DIC",1,20,50,0.04,0.16,0.2,0.4,0.54
"1397","WAIC",1,20,50,0.04,0.16,0.2,0.4,0.58
"1398","LOO",1,20,50,0.04,0.16,0.2,0.4,0.6
"1399","DIC",2,20,50,0.04,0.16,0.2,0.4,0
"1400","WAIC",2,20,50,0.04,0.16,0.2,0.4,0
"1401","LOO",2,20,50,0.04,0.16,0.2,0.4,0
"1402","DIC",3,20,50,0.04,0.16,0.2,0.4,0.23
"1403","WAIC",3,20,50,0.04,0.16,0.2,0.4,0.26
"1404","LOO",3,20,50,0.04,0.16,0.2,0.4,0.24
"1405","DIC",4,20,50,0.04,0.16,0.2,0.4,0
"1406","WAIC",4,20,50,0.04,0.16,0.2,0.4,0
"1407","LOO",4,20,50,0.04,0.16,0.2,0.4,0
"1408","DIC",5,20,50,0.04,0.16,0.2,0.4,0.23
"1409","WAIC",5,20,50,0.04,0.16,0.2,0.4,0.16
"1410","LOO",5,20,50,0.04,0.16,0.2,0.4,0.16
"1411","DIC",1,50,50,0.04,0.16,0.2,0.4,0.47
"1412","WAIC",1,50,50,0.04,0.16,0.2,0.4,0.64
"1413","LOO",1,50,50,0.04,0.16,0.2,0.4,0.65
"1414","DIC",2,50,50,0.04,0.16,0.2,0.4,0
"1415","WAIC",2,50,50,0.04,0.16,0.2,0.4,0
"1416","LOO",2,50,50,0.04,0.16,0.2,0.4,0
"1417","DIC",3,50,50,0.04,0.16,0.2,0.4,0.26
"1418","WAIC",3,50,50,0.04,0.16,0.2,0.4,0.18
"1419","LOO",3,50,50,0.04,0.16,0.2,0.4,0.18
"1420","DIC",4,50,50,0.04,0.16,0.2,0.4,0
"1421","WAIC",4,50,50,0.04,0.16,0.2,0.4,0
"1422","LOO",4,50,50,0.04,0.16,0.2,0.4,0
"1423","DIC",5,50,50,0.04,0.16,0.2,0.4,0.27
"1424","WAIC",5,50,50,0.04,0.16,0.2,0.4,0.18
"1425","LOO",5,50,50,0.04,0.16,0.2,0.4,0.17
"1426","DIC",1,70,50,0.04,0.16,0.2,0.4,0.55
"1427","WAIC",1,70,50,0.04,0.16,0.2,0.4,0.61
"1428","LOO",1,70,50,0.04,0.16,0.2,0.4,0.61
"1429","DIC",2,70,50,0.04,0.16,0.2,0.4,0
"1430","WAIC",2,70,50,0.04,0.16,0.2,0.4,0
"1431","LOO",2,70,50,0.04,0.16,0.2,0.4,0
"1432","DIC",3,70,50,0.04,0.16,0.2,0.4,0.2
"1433","WAIC",3,70,50,0.04,0.16,0.2,0.4,0.22
"1434","LOO",3,70,50,0.04,0.16,0.2,0.4,0.21
"1435","DIC",4,70,50,0.04,0.16,0.2,0.4,0
"1436","WAIC",4,70,50,0.04,0.16,0.2,0.4,0
"1437","LOO",4,70,50,0.04,0.16,0.2,0.4,0
"1438","DIC",5,70,50,0.04,0.16,0.2,0.4,0.25
"1439","WAIC",5,70,50,0.04,0.16,0.2,0.4,0.17
"1440","LOO",5,70,50,0.04,0.16,0.2,0.4,0.18
"1441","DIC",1,20,100,0.04,0.16,0.2,0.4,0.49
"1442","WAIC",1,20,100,0.04,0.16,0.2,0.4,0.69
"1443","LOO",1,20,100,0.04,0.16,0.2,0.4,0.68
"1444","DIC",2,20,100,0.04,0.16,0.2,0.4,0
"1445","WAIC",2,20,100,0.04,0.16,0.2,0.4,0
"1446","LOO",2,20,100,0.04,0.16,0.2,0.4,0
"1447","DIC",3,20,100,0.04,0.16,0.2,0.4,0.22
"1448","WAIC",3,20,100,0.04,0.16,0.2,0.4,0.1
"1449","LOO",3,20,100,0.04,0.16,0.2,0.4,0.1
"1450","DIC",4,20,100,0.04,0.16,0.2,0.4,0
"1451","WAIC",4,20,100,0.04,0.16,0.2,0.4,0
"1452","LOO",4,20,100,0.04,0.16,0.2,0.4,0
"1453","DIC",5,20,100,0.04,0.16,0.2,0.4,0.29
"1454","WAIC",5,20,100,0.04,0.16,0.2,0.4,0.21
"1455","LOO",5,20,100,0.04,0.16,0.2,0.4,0.22
"1456","DIC",1,50,100,0.04,0.16,0.2,0.4,0.51
"1457","WAIC",1,50,100,0.04,0.16,0.2,0.4,0.66
"1458","LOO",1,50,100,0.04,0.16,0.2,0.4,0.66
"1459","DIC",2,50,100,0.04,0.16,0.2,0.4,0
"1460","WAIC",2,50,100,0.04,0.16,0.2,0.4,0
"1461","LOO",2,50,100,0.04,0.16,0.2,0.4,0
"1462","DIC",3,50,100,0.04,0.16,0.2,0.4,0.23
"1463","WAIC",3,50,100,0.04,0.16,0.2,0.4,0.13
"1464","LOO",3,50,100,0.04,0.16,0.2,0.4,0.12
"1465","DIC",4,50,100,0.04,0.16,0.2,0.4,0
"1466","WAIC",4,50,100,0.04,0.16,0.2,0.4,0
"1467","LOO",4,50,100,0.04,0.16,0.2,0.4,0
"1468","DIC",5,50,100,0.04,0.16,0.2,0.4,0.26
"1469","WAIC",5,50,100,0.04,0.16,0.2,0.4,0.21
"1470","LOO",5,50,100,0.04,0.16,0.2,0.4,0.22
"1471","DIC",1,70,100,0.04,0.16,0.2,0.4,0.44
"1472","WAIC",1,70,100,0.04,0.16,0.2,0.4,0.63
"1473","LOO",1,70,100,0.04,0.16,0.2,0.4,0.64
"1474","DIC",2,70,100,0.04,0.16,0.2,0.4,0
"1475","WAIC",2,70,100,0.04,0.16,0.2,0.4,0
"1476","LOO",2,70,100,0.04,0.16,0.2,0.4,0
"1477","DIC",3,70,100,0.04,0.16,0.2,0.4,0.26
"1478","WAIC",3,70,100,0.04,0.16,0.2,0.4,0.21
"1479","LOO",3,70,100,0.04,0.16,0.2,0.4,0.2
"1480","DIC",4,70,100,0.04,0.16,0.2,0.4,0
"1481","WAIC",4,70,100,0.04,0.16,0.2,0.4,0
"1482","LOO",4,70,100,0.04,0.16,0.2,0.4,0
"1483","DIC",5,70,100,0.04,0.16,0.2,0.4,0.3
"1484","WAIC",5,70,100,0.04,0.16,0.2,0.4,0.16
"1485","LOO",5,70,100,0.04,0.16,0.2,0.4,0.16
"1486","DIC",1,20,10,0.16,0.16,0.2,0.4,0.49
"1487","WAIC",1,20,10,0.16,0.16,0.2,0.4,0.52
"1488","LOO",1,20,10,0.16,0.16,0.2,0.4,0.63
"1489","DIC",2,20,10,0.16,0.16,0.2,0.4,0.01
"1490","WAIC",2,20,10,0.16,0.16,0.2,0.4,0.01
"1491","LOO",2,20,10,0.16,0.16,0.2,0.4,0.01
"1492","DIC",3,20,10,0.16,0.16,0.2,0.4,0.35
"1493","WAIC",3,20,10,0.16,0.16,0.2,0.4,0.34
"1494","LOO",3,20,10,0.16,0.16,0.2,0.4,0.19
"1495","DIC",4,20,10,0.16,0.16,0.2,0.4,0
"1496","WAIC",4,20,10,0.16,0.16,0.2,0.4,0
"1497","LOO",4,20,10,0.16,0.16,0.2,0.4,0
"1498","DIC",5,20,10,0.16,0.16,0.2,0.4,0.15
"1499","WAIC",5,20,10,0.16,0.16,0.2,0.4,0.13
"1500","LOO",5,20,10,0.16,0.16,0.2,0.4,0.17
"1501","DIC",1,50,10,0.16,0.16,0.2,0.4,0.5
"1502","WAIC",1,50,10,0.16,0.16,0.2,0.4,0.57
"1503","LOO",1,50,10,0.16,0.16,0.2,0.4,0.64
"1504","DIC",2,50,10,0.16,0.16,0.2,0.4,0
"1505","WAIC",2,50,10,0.16,0.16,0.2,0.4,0
"1506","LOO",2,50,10,0.16,0.16,0.2,0.4,0
"1507","DIC",3,50,10,0.16,0.16,0.2,0.4,0.33
"1508","WAIC",3,50,10,0.16,0.16,0.2,0.4,0.28
"1509","LOO",3,50,10,0.16,0.16,0.2,0.4,0.19
"1510","DIC",4,50,10,0.16,0.16,0.2,0.4,0
"1511","WAIC",4,50,10,0.16,0.16,0.2,0.4,0
"1512","LOO",4,50,10,0.16,0.16,0.2,0.4,0
"1513","DIC",5,50,10,0.16,0.16,0.2,0.4,0.17
"1514","WAIC",5,50,10,0.16,0.16,0.2,0.4,0.15
"1515","LOO",5,50,10,0.16,0.16,0.2,0.4,0.17
"1516","DIC",1,70,10,0.16,0.16,0.2,0.4,0.47
"1517","WAIC",1,70,10,0.16,0.16,0.2,0.4,0.46
"1518","LOO",1,70,10,0.16,0.16,0.2,0.4,0.57
"1519","DIC",2,70,10,0.16,0.16,0.2,0.4,0
"1520","WAIC",2,70,10,0.16,0.16,0.2,0.4,0
"1521","LOO",2,70,10,0.16,0.16,0.2,0.4,0
"1522","DIC",3,70,10,0.16,0.16,0.2,0.4,0.28
"1523","WAIC",3,70,10,0.16,0.16,0.2,0.4,0.32
"1524","LOO",3,70,10,0.16,0.16,0.2,0.4,0.24
"1525","DIC",4,70,10,0.16,0.16,0.2,0.4,0
"1526","WAIC",4,70,10,0.16,0.16,0.2,0.4,0
"1527","LOO",4,70,10,0.16,0.16,0.2,0.4,0
"1528","DIC",5,70,10,0.16,0.16,0.2,0.4,0.25
"1529","WAIC",5,70,10,0.16,0.16,0.2,0.4,0.22
"1530","LOO",5,70,10,0.16,0.16,0.2,0.4,0.19
"1531","DIC",1,20,50,0.16,0.16,0.2,0.4,0.65
"1532","WAIC",1,20,50,0.16,0.16,0.2,0.4,0.77
"1533","LOO",1,20,50,0.16,0.16,0.2,0.4,0.77
"1534","DIC",2,20,50,0.16,0.16,0.2,0.4,0
"1535","WAIC",2,20,50,0.16,0.16,0.2,0.4,0
"1536","LOO",2,20,50,0.16,0.16,0.2,0.4,0
"1537","DIC",3,20,50,0.16,0.16,0.2,0.4,0.18
"1538","WAIC",3,20,50,0.16,0.16,0.2,0.4,0.09
"1539","LOO",3,20,50,0.16,0.16,0.2,0.4,0.09
"1540","DIC",4,20,50,0.16,0.16,0.2,0.4,0
"1541","WAIC",4,20,50,0.16,0.16,0.2,0.4,0
"1542","LOO",4,20,50,0.16,0.16,0.2,0.4,0
"1543","DIC",5,20,50,0.16,0.16,0.2,0.4,0.17
"1544","WAIC",5,20,50,0.16,0.16,0.2,0.4,0.14
"1545","LOO",5,20,50,0.16,0.16,0.2,0.4,0.14
"1546","DIC",1,50,50,0.16,0.16,0.2,0.4,0.49
"1547","WAIC",1,50,50,0.16,0.16,0.2,0.4,0.59
"1548","LOO",1,50,50,0.16,0.16,0.2,0.4,0.62
"1549","DIC",2,50,50,0.16,0.16,0.2,0.4,0
"1550","WAIC",2,50,50,0.16,0.16,0.2,0.4,0
"1551","LOO",2,50,50,0.16,0.16,0.2,0.4,0
"1552","DIC",3,50,50,0.16,0.16,0.2,0.4,0.26
"1553","WAIC",3,50,50,0.16,0.16,0.2,0.4,0.21
"1554","LOO",3,50,50,0.16,0.16,0.2,0.4,0.18
"1555","DIC",4,50,50,0.16,0.16,0.2,0.4,0
"1556","WAIC",4,50,50,0.16,0.16,0.2,0.4,0
"1557","LOO",4,50,50,0.16,0.16,0.2,0.4,0
"1558","DIC",5,50,50,0.16,0.16,0.2,0.4,0.25
"1559","WAIC",5,50,50,0.16,0.16,0.2,0.4,0.2
"1560","LOO",5,50,50,0.16,0.16,0.2,0.4,0.2
"1561","DIC",1,70,50,0.16,0.16,0.2,0.4,0.47
"1562","WAIC",1,70,50,0.16,0.16,0.2,0.4,0.68
"1563","LOO",1,70,50,0.16,0.16,0.2,0.4,0.7
"1564","DIC",2,70,50,0.16,0.16,0.2,0.4,0
"1565","WAIC",2,70,50,0.16,0.16,0.2,0.4,0
"1566","LOO",2,70,50,0.16,0.16,0.2,0.4,0
"1567","DIC",3,70,50,0.16,0.16,0.2,0.4,0.3
"1568","WAIC",3,70,50,0.16,0.16,0.2,0.4,0.16
"1569","LOO",3,70,50,0.16,0.16,0.2,0.4,0.15
"1570","DIC",4,70,50,0.16,0.16,0.2,0.4,0
"1571","WAIC",4,70,50,0.16,0.16,0.2,0.4,0
"1572","LOO",4,70,50,0.16,0.16,0.2,0.4,0
"1573","DIC",5,70,50,0.16,0.16,0.2,0.4,0.23
"1574","WAIC",5,70,50,0.16,0.16,0.2,0.4,0.16
"1575","LOO",5,70,50,0.16,0.16,0.2,0.4,0.15
"1576","DIC",1,20,100,0.16,0.16,0.2,0.4,0.53
"1577","WAIC",1,20,100,0.16,0.16,0.2,0.4,0.72
"1578","LOO",1,20,100,0.16,0.16,0.2,0.4,0.73
"1579","DIC",2,20,100,0.16,0.16,0.2,0.4,0
"1580","WAIC",2,20,100,0.16,0.16,0.2,0.4,0
"1581","LOO",2,20,100,0.16,0.16,0.2,0.4,0
"1582","DIC",3,20,100,0.16,0.16,0.2,0.4,0.22
"1583","WAIC",3,20,100,0.16,0.16,0.2,0.4,0.08
"1584","LOO",3,20,100,0.16,0.16,0.2,0.4,0.08
"1585","DIC",4,20,100,0.16,0.16,0.2,0.4,0
"1586","WAIC",4,20,100,0.16,0.16,0.2,0.4,0
"1587","LOO",4,20,100,0.16,0.16,0.2,0.4,0
"1588","DIC",5,20,100,0.16,0.16,0.2,0.4,0.25
"1589","WAIC",5,20,100,0.16,0.16,0.2,0.4,0.2
"1590","LOO",5,20,100,0.16,0.16,0.2,0.4,0.19
"1591","DIC",1,50,100,0.16,0.16,0.2,0.4,0.46
"1592","WAIC",1,50,100,0.16,0.16,0.2,0.4,0.66
"1593","LOO",1,50,100,0.16,0.16,0.2,0.4,0.66
"1594","DIC",2,50,100,0.16,0.16,0.2,0.4,0
"1595","WAIC",2,50,100,0.16,0.16,0.2,0.4,0
"1596","LOO",2,50,100,0.16,0.16,0.2,0.4,0
"1597","DIC",3,50,100,0.16,0.16,0.2,0.4,0.22
"1598","WAIC",3,50,100,0.16,0.16,0.2,0.4,0.14
"1599","LOO",3,50,100,0.16,0.16,0.2,0.4,0.14
"1600","DIC",4,50,100,0.16,0.16,0.2,0.4,0
"1601","WAIC",4,50,100,0.16,0.16,0.2,0.4,0
"1602","LOO",4,50,100,0.16,0.16,0.2,0.4,0
"1603","DIC",5,50,100,0.16,0.16,0.2,0.4,0.32
"1604","WAIC",5,50,100,0.16,0.16,0.2,0.4,0.2
"1605","LOO",5,50,100,0.16,0.16,0.2,0.4,0.2
"1606","DIC",1,70,100,0.16,0.16,0.2,0.4,0.47
"1607","WAIC",1,70,100,0.16,0.16,0.2,0.4,0.62
"1608","LOO",1,70,100,0.16,0.16,0.2,0.4,0.64
"1609","DIC",2,70,100,0.16,0.16,0.2,0.4,0
"1610","WAIC",2,70,100,0.16,0.16,0.2,0.4,0
"1611","LOO",2,70,100,0.16,0.16,0.2,0.4,0
"1612","DIC",3,70,100,0.16,0.16,0.2,0.4,0.26
"1613","WAIC",3,70,100,0.16,0.16,0.2,0.4,0.24
"1614","LOO",3,70,100,0.16,0.16,0.2,0.4,0.21
"1615","DIC",4,70,100,0.16,0.16,0.2,0.4,0
"1616","WAIC",4,70,100,0.16,0.16,0.2,0.4,0
"1617","LOO",4,70,100,0.16,0.16,0.2,0.4,0
"1618","DIC",5,70,100,0.16,0.16,0.2,0.4,0.27
"1619","WAIC",5,70,100,0.16,0.16,0.2,0.4,0.14
"1620","LOO",5,70,100,0.16,0.16,0.2,0.4,0.15
"1621","DIC",1,20,10,0.04,0.04,0.4,0.4,0.52
"1622","WAIC",1,20,10,0.04,0.04,0.4,0.4,0.51
"1623","LOO",1,20,10,0.04,0.04,0.4,0.4,0.45
"1624","DIC",2,20,10,0.04,0.04,0.4,0.4,0.25
"1625","WAIC",2,20,10,0.04,0.04,0.4,0.4,0.27
"1626","LOO",2,20,10,0.04,0.04,0.4,0.4,0.34
"1627","DIC",3,20,10,0.04,0.04,0.4,0.4,0.12
"1628","WAIC",3,20,10,0.04,0.04,0.4,0.4,0.12
"1629","LOO",3,20,10,0.04,0.04,0.4,0.4,0.11
"1630","DIC",4,20,10,0.04,0.04,0.4,0.4,0
"1631","WAIC",4,20,10,0.04,0.04,0.4,0.4,0
"1632","LOO",4,20,10,0.04,0.04,0.4,0.4,0
"1633","DIC",5,20,10,0.04,0.04,0.4,0.4,0.11
"1634","WAIC",5,20,10,0.04,0.04,0.4,0.4,0.1
"1635","LOO",5,20,10,0.04,0.04,0.4,0.4,0.1
"1636","DIC",1,50,10,0.04,0.04,0.4,0.4,0.47
"1637","WAIC",1,50,10,0.04,0.04,0.4,0.4,0.53
"1638","LOO",1,50,10,0.04,0.04,0.4,0.4,0.5
"1639","DIC",2,50,10,0.04,0.04,0.4,0.4,0.09
"1640","WAIC",2,50,10,0.04,0.04,0.4,0.4,0.13
"1641","LOO",2,50,10,0.04,0.04,0.4,0.4,0.17
"1642","DIC",3,50,10,0.04,0.04,0.4,0.4,0.26
"1643","WAIC",3,50,10,0.04,0.04,0.4,0.4,0.18
"1644","LOO",3,50,10,0.04,0.04,0.4,0.4,0.15
"1645","DIC",4,50,10,0.04,0.04,0.4,0.4,0
"1646","WAIC",4,50,10,0.04,0.04,0.4,0.4,0
"1647","LOO",4,50,10,0.04,0.04,0.4,0.4,0
"1648","DIC",5,50,10,0.04,0.04,0.4,0.4,0.18
"1649","WAIC",5,50,10,0.04,0.04,0.4,0.4,0.16
"1650","LOO",5,50,10,0.04,0.04,0.4,0.4,0.18
"1651","DIC",1,70,10,0.04,0.04,0.4,0.4,0.52
"1652","WAIC",1,70,10,0.04,0.04,0.4,0.4,0.55
"1653","LOO",1,70,10,0.04,0.04,0.4,0.4,0.6
"1654","DIC",2,70,10,0.04,0.04,0.4,0.4,0.07
"1655","WAIC",2,70,10,0.04,0.04,0.4,0.4,0.11
"1656","LOO",2,70,10,0.04,0.04,0.4,0.4,0.14
"1657","DIC",3,70,10,0.04,0.04,0.4,0.4,0.27
"1658","WAIC",3,70,10,0.04,0.04,0.4,0.4,0.2
"1659","LOO",3,70,10,0.04,0.04,0.4,0.4,0.13
"1660","DIC",4,70,10,0.04,0.04,0.4,0.4,0
"1661","WAIC",4,70,10,0.04,0.04,0.4,0.4,0
"1662","LOO",4,70,10,0.04,0.04,0.4,0.4,0
"1663","DIC",5,70,10,0.04,0.04,0.4,0.4,0.14
"1664","WAIC",5,70,10,0.04,0.04,0.4,0.4,0.14
"1665","LOO",5,70,10,0.04,0.04,0.4,0.4,0.13
"1666","DIC",1,20,50,0.04,0.04,0.4,0.4,0.51
"1667","WAIC",1,20,50,0.04,0.04,0.4,0.4,0.66
"1668","LOO",1,20,50,0.04,0.04,0.4,0.4,0.66
"1669","DIC",2,20,50,0.04,0.04,0.4,0.4,0.01
"1670","WAIC",2,20,50,0.04,0.04,0.4,0.4,0.01
"1671","LOO",2,20,50,0.04,0.04,0.4,0.4,0.01
"1672","DIC",3,20,50,0.04,0.04,0.4,0.4,0.23
"1673","WAIC",3,20,50,0.04,0.04,0.4,0.4,0.16
"1674","LOO",3,20,50,0.04,0.04,0.4,0.4,0.16
"1675","DIC",4,20,50,0.04,0.04,0.4,0.4,0
"1676","WAIC",4,20,50,0.04,0.04,0.4,0.4,0
"1677","LOO",4,20,50,0.04,0.04,0.4,0.4,0
"1678","DIC",5,20,50,0.04,0.04,0.4,0.4,0.25
"1679","WAIC",5,20,50,0.04,0.04,0.4,0.4,0.17
"1680","LOO",5,20,50,0.04,0.04,0.4,0.4,0.17
"1681","DIC",1,50,50,0.04,0.04,0.4,0.4,0.52
"1682","WAIC",1,50,50,0.04,0.04,0.4,0.4,0.63
"1683","LOO",1,50,50,0.04,0.04,0.4,0.4,0.63
"1684","DIC",2,50,50,0.04,0.04,0.4,0.4,0
