"","IC","Model","marg","N","J","TAU0","TAU1","G10","G20","p_choose"
"303","LOO",1,70,10,0.04,0.16,0.2,0.2,0,0.66
"304","DIC",2,70,10,0.04,0.16,0.2,0.2,0,0
"305","WAIC",2,70,10,0.04,0.16,0.2,0.2,0,0
"306","LOO",2,70,10,0.04,0.16,0.2,0.2,0,0
"307","DIC",3,70,10,0.04,0.16,0.2,0.2,0,0.29
"308","WAIC",3,70,10,0.04,0.16,0.2,0.2,0,0.25
"309","LOO",3,70,10,0.04,0.16,0.2,0.2,0,0.17
"310","DIC",4,70,10,0.04,0.16,0.2,0.2,0,0
"311","WAIC",4,70,10,0.04,0.16,0.2,0.2,0,0
"312","LOO",4,70,10,0.04,0.16,0.2,0.2,0,0
"313","DIC",5,70,10,0.04,0.16,0.2,0.2,0,0.22
"314","WAIC",5,70,10,0.04,0.16,0.2,0.2,0,0.18
"315","LOO",5,70,10,0.04,0.16,0.2,0.2,0,0.17
"316","DIC",1,20,50,0.04,0.16,0.2,0.2,0,0.58
"317","WAIC",1,20,50,0.04,0.16,0.2,0.2,0,0.68
"318","LOO",1,20,50,0.04,0.16,0.2,0.2,0,0.71
"319","DIC",2,20,50,0.04,0.16,0.2,0.2,0,0
"320","WAIC",2,20,50,0.04,0.16,0.2,0.2,0,0
"321","LOO",2,20,50,0.04,0.16,0.2,0.2,0,0
"322","DIC",3,20,50,0.04,0.16,0.2,0.2,0,0.22
"323","WAIC",3,20,50,0.04,0.16,0.2,0.2,0,0.14
"324","LOO",3,20,50,0.04,0.16,0.2,0.2,0,0.11
"325","DIC",4,20,50,0.04,0.16,0.2,0.2,0,0
"326","WAIC",4,20,50,0.04,0.16,0.2,0.2,0,0
"327","LOO",4,20,50,0.04,0.16,0.2,0.2,0,0
"328","DIC",5,20,50,0.04,0.16,0.2,0.2,0,0.2
"329","WAIC",5,20,50,0.04,0.16,0.2,0.2,0,0.18
"330","LOO",5,20,50,0.04,0.16,0.2,0.2,0,0.18
"331","DIC",1,50,50,0.04,0.16,0.2,0.2,0,0.43
"332","WAIC",1,50,50,0.04,0.16,0.2,0.2,0,0.65
"333","LOO",1,50,50,0.04,0.16,0.2,0.2,0,0.66
"334","DIC",2,50,50,0.04,0.16,0.2,0.2,0,0
"335","WAIC",2,50,50,0.04,0.16,0.2,0.2,0,0
"336","LOO",2,50,50,0.04,0.16,0.2,0.2,0,0
"337","DIC",3,50,50,0.04,0.16,0.2,0.2,0,0.29
"338","WAIC",3,50,50,0.04,0.16,0.2,0.2,0,0.15
"339","LOO",3,50,50,0.04,0.16,0.2,0.2,0,0.14
"340","DIC",4,50,50,0.04,0.16,0.2,0.2,0,0
"341","WAIC",4,50,50,0.04,0.16,0.2,0.2,0,0
"342","LOO",4,50,50,0.04,0.16,0.2,0.2,0,0
"343","DIC",5,50,50,0.04,0.16,0.2,0.2,0,0.28
"344","WAIC",5,50,50,0.04,0.16,0.2,0.2,0,0.2
"345","LOO",5,50,50,0.04,0.16,0.2,0.2,0,0.2
"346","DIC",1,70,50,0.04,0.16,0.2,0.2,0,0.45
"347","WAIC",1,70,50,0.04,0.16,0.2,0.2,0,0.71
"348","LOO",1,70,50,0.04,0.16,0.2,0.2,0,0.71
"349","DIC",2,70,50,0.04,0.16,0.2,0.2,0,0
"350","WAIC",2,70,50,0.04,0.16,0.2,0.2,0,0
"351","LOO",2,70,50,0.04,0.16,0.2,0.2,0,0
"352","DIC",3,70,50,0.04,0.16,0.2,0.2,0,0.25
"353","WAIC",3,70,50,0.04,0.16,0.2,0.2,0,0.15
"354","LOO",3,70,50,0.04,0.16,0.2,0.2,0,0.13
"355","DIC",4,70,50,0.04,0.16,0.2,0.2,0,0
"356","WAIC",4,70,50,0.04,0.16,0.2,0.2,0,0
"357","LOO",4,70,50,0.04,0.16,0.2,0.2,0,0
"358","DIC",5,70,50,0.04,0.16,0.2,0.2,0,0.3
"359","WAIC",5,70,50,0.04,0.16,0.2,0.2,0,0.14
"360","LOO",5,70,50,0.04,0.16,0.2,0.2,0,0.16
"361","DIC",1,20,100,0.04,0.16,0.2,0.2,0,0.49
"362","WAIC",1,20,100,0.04,0.16,0.2,0.2,0,0.7
"363","LOO",1,20,100,0.04,0.16,0.2,0.2,0,0.7
"364","DIC",2,20,100,0.04,0.16,0.2,0.2,0,0
"365","WAIC",2,20,100,0.04,0.16,0.2,0.2,0,0
"366","LOO",2,20,100,0.04,0.16,0.2,0.2,0,0
"367","DIC",3,20,100,0.04,0.16,0.2,0.2,0,0.28
"368","WAIC",3,20,100,0.04,0.16,0.2,0.2,0,0.12
"369","LOO",3,20,100,0.04,0.16,0.2,0.2,0,0.12
"370","DIC",4,20,100,0.04,0.16,0.2,0.2,0,0
"371","WAIC",4,20,100,0.04,0.16,0.2,0.2,0,0
"372","LOO",4,20,100,0.04,0.16,0.2,0.2,0,0
"373","DIC",5,20,100,0.04,0.16,0.2,0.2,0,0.23
"374","WAIC",5,20,100,0.04,0.16,0.2,0.2,0,0.18
"375","LOO",5,20,100,0.04,0.16,0.2,0.2,0,0.18
"376","DIC",1,50,100,0.04,0.16,0.2,0.2,0,0.39
"377","WAIC",1,50,100,0.04,0.16,0.2,0.2,0,0.7
"378","LOO",1,50,100,0.04,0.16,0.2,0.2,0,0.68
"379","DIC",2,50,100,0.04,0.16,0.2,0.2,0,0
"380","WAIC",2,50,100,0.04,0.16,0.2,0.2,0,0
"381","LOO",2,50,100,0.04,0.16,0.2,0.2,0,0
"382","DIC",3,50,100,0.04,0.16,0.2,0.2,0,0.33
"383","WAIC",3,50,100,0.04,0.16,0.2,0.2,0,0.14
"384","LOO",3,50,100,0.04,0.16,0.2,0.2,0,0.13
"385","DIC",4,50,100,0.04,0.16,0.2,0.2,0,0
"386","WAIC",4,50,100,0.04,0.16,0.2,0.2,0,0
"387","LOO",4,50,100,0.04,0.16,0.2,0.2,0,0
