"","N","J","G00","TAU0","G10","TAU1","G20","TAU2","G30","TAU3","RHO01","RHO02","RHO12","X1_mu","X2_mu","X3_mu","X1_sd","X2_sd","X3_sd","S","nchain","niter","burn","thin","marg","SIG2","Y.fixed","Y.rand","Y.int","Y.e","varY"
"95",50,50,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.32,0.04,0.04,0.6,1
"96",70,50,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.32,0.04,0.04,0.6,1
"97",20,100,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.32,0.04,0.04,0.6,1
"98",50,100,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.32,0.04,0.04,0.6,1
"99",70,100,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.32,0.04,0.04,0.6,1
"100",20,10,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.04,0.16,0.48,1
"101",50,10,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.04,0.16,0.48,1
"102",70,10,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.04,0.16,0.48,1
"103",20,50,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.04,0.16,0.48,1
"104",50,50,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.04,0.16,0.48,1
"105",70,50,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.04,0.16,0.48,1
"106",20,100,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.04,0.16,0.48,1
"107",50,100,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.04,0.16,0.48,1
"108",70,100,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.04,0.16,0.48,1
"109",20,10,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"110",50,10,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"111",70,10,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"112",20,50,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"113",50,50,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"114",70,50,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"115",20,100,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"116",50,100,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"117",70,100,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"118",20,10,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"119",50,10,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"120",70,10,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"121",20,50,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"122",50,50,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"123",70,50,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"124",20,100,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"125",50,100,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"126",70,100,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"127",20,10,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.16,0.04,0.48,1
"128",50,10,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.16,0.04,0.48,1
"129",70,10,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.16,0.04,0.48,1
"130",20,50,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.16,0.04,0.48,1
"131",50,50,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.16,0.04,0.48,1
"132",70,50,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.16,0.04,0.48,1
"133",20,100,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.16,0.04,0.48,1
"134",50,100,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.16,0.04,0.48,1
"135",70,100,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.32,0.16,0.04,0.48,1
"136",20,10,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.36,0.32,0.16,0.16,0.36,1
"137",50,10,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.36,0.32,0.16,0.16,0.36,1
"138",70,10,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.36,0.32,0.16,0.16,0.36,1
"139",20,50,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.36,0.32,0.16,0.16,0.36,1
"140",50,50,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.36,0.32,0.16,0.16,0.36,1
"141",70,50,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.36,0.32,0.16,0.16,0.36,1
"142",20,100,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.36,0.32,0.16,0.16,0.36,1
"143",50,100,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.36,0.32,0.16,0.16,0.36,1
"144",70,100,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.36,0.32,0.16,0.16,0.36,1
"145",20,10,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"146",50,10,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"147",70,10,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"148",20,50,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"149",50,50,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"150",70,50,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"151",20,100,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"152",50,100,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"153",70,100,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"154",20,10,1,0.16,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.04,0.16,0.72,1
